benchmark,model,subject,total,correct,valid,ambiguous,accuracy_all_pct,accuracy_valid_pct,historical_yes,historical_yes_pct
ChemBench4K,ChemDFM-v1.0-13B,Mol2caption_benchmark,299,231,299,0,77.25752508361204,77.25752508361204,231,77.25752508361204
ChemBench4K,ChemDFM-v1.0-13B,Name_Conversion_benchmark,799,326,799,0,40.80100125156446,40.80100125156446,326,40.80100125156446
ChemBench4K,ChemDFM-v1.0-13B,Product_Prediction_benchmark,300,108,300,0,36.0,36.0,108,36.0
ChemBench4K,ChemDFM-v1.0-13B,Property_Prediction_benchmark,709,270,709,0,38.081805359661494,38.081805359661494,270,38.081805359661494
ChemBench4K,ChemDFM-v1.0-13B,Retrosynthesis_benchmark,300,99,300,0,33.0,33.0,99,33.0
ChemBench4K,ChemDFM-v1.0-13B,Solvent_Prediction_benchmark,300,76,300,0,25.333333333333332,25.333333333333332,76,25.333333333333332
ChemBench4K,ChemDFM-v1.0-13B,Temperature_Prediction_benchmark,202,51,202,0,25.247524752475247,25.247524752475247,51,25.247524752475247
ChemBench4K,ChemDFM-v1.0-13B,Yield_Prediction_benchmark,300,90,300,0,30.0,30.0,90,30.0
ChemBench4K,ChemLLM-7B-Chat,Caption2mol_benchmark,800,312,800,0,39.0,39.0,312,39.0
ChemBench4K,ChemLLM-7B-Chat,Mol2caption_benchmark,299,211,299,0,70.5685618729097,70.5685618729097,211,70.5685618729097
ChemBench4K,ChemLLM-7B-Chat,Name_Conversion_benchmark,799,83,799,0,10.387984981226532,10.387984981226532,83,10.387984981226532
ChemBench4K,ChemLLM-7B-Chat,Product_Prediction_benchmark,300,72,300,0,24.0,24.0,72,24.0
ChemBench4K,ChemLLM-7B-Chat,Property_Prediction_benchmark,709,314,709,0,44.287729196050776,44.287729196050776,314,44.287729196050776
ChemBench4K,ChemLLM-7B-Chat,Retrosynthesis_benchmark,299,109,299,0,36.45484949832776,36.45484949832776,109,36.45484949832776
ChemBench4K,ChemLLM-7B-Chat,Solvent_Prediction_benchmark,300,39,300,0,13.0,13.0,39,13.0
ChemBench4K,ChemLLM-7B-Chat,Temperature_Prediction_benchmark,202,37,202,0,18.316831683168317,18.316831683168317,37,18.316831683168317
ChemBench4K,ChemLLM-7B-Chat,Yield_Prediction_benchmark,300,65,300,0,21.666666666666668,21.666666666666668,65,21.666666666666668
ChemBench4K,Qwen3-0.6B,Caption2mol_benchmark,800,199,800,0,24.875,24.875,199,24.875
ChemBench4K,Qwen3-0.6B,Mol2caption_benchmark,299,81,299,0,27.090301003344482,27.090301003344482,81,27.090301003344482
ChemBench4K,Qwen3-0.6B,Name_Conversion_benchmark,799,316,799,0,39.54943679599499,39.54943679599499,316,39.54943679599499
